norm,acceptance_rate,is_emerged,is_subsumed_by_emerged
Norm{consequent=NOT_WEAR; conditions=Context{; OberverAgentTypeFREEDOM; observerRelationship=STRANGER; interactLocation=PARK}},0.455,false,false
Norm{consequent=NOT_WEAR; conditions=Context{; preference=WEAR; OberverAgentTypeFREEDOM; observerRelationship=FRIEND; interactLocation=PARTY}},0.44,false,false
Norm{consequent=NOT_WEAR; conditions=Context{actorHealth=RISK; preference=WEAR}},0.4,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK}},0.6,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR}},0.6,false,false
Norm{consequent=WEAR; conditions=Context{; observerRelationship=STRANGER}},0.59,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; interactLocation=HOSPITAL}},0.695,false,false
Norm{consequent=WEAR; conditions=Context{; preference=WEAR; OberverAgentTypeHEALTH; interactLocation=OFFICE}},0.7,false,false
Norm{consequent=WEAR; conditions=Context{}},0.6,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; interactLocation=HOME}},0.555,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; OberverAgentTypeFREEDOM; observerRelationship=FRIEND}},0.61,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; observerRelationship=FRIEND}},0.605,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; OberverAgentTypeHEALTH; interactLocation=OFFICE}},0.695,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; OberverAgentTypeFREEDOM; observerRelationship=FAMILY}},0.59,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; interactLocation=PARTY}},0.58,false,false
Norm{consequent=WEAR; conditions=Context{; preference=WEAR; OberverAgentTypeHEALTH; observerRelationship=STRANGER}},0.645,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; OberverAgentTypeHEALTH; observerRelationship=COLLEAGUE; interactLocation=OFFICE}},0.845,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; OberverAgentTypeHEALTH; interactLocation=HOSPITAL}},0.72,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; observerRelationship=STRANGER; interactLocation=HOSPITAL}},0.685,false,false
Norm{consequent=WEAR; conditions=Context{; preference=WEAR; OberverAgentTypeFREEDOM}},0.585,false,false
Norm{consequent=WEAR; conditions=Context{; OberverAgentTypeHEALTH; observerRelationship=COLLEAGUE; interactLocation=OFFICE}},0.81,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; interactLocation=OFFICE}},0.645,false,false
Norm{consequent=WEAR; conditions=Context{; preference=WEAR; OberverAgentTypeHEALTH}},0.66,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; interactLocation=PARK}},0.535,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; interactLocation=HOSPITAL}},0.685,false,false
Norm{consequent=WEAR; conditions=Context{actorHealth=RISK; preference=WEAR; OberverAgentTypeFREEDOM; observerRelationship=STRANGER; interactLocation=HOSPITAL}},0.705,false,false
Norm{consequent=WEAR; conditions=Context{; preference=WEAR; observerRelationship=STRANGER; interactLocation=PARK}},0.53,false,false
Norm{consequent=WEAR; conditions=Context{; OberverAgentTypeHEALTH; observerRelationship=STRANGER; interactLocation=HOSPITAL}},0.735,false,false
